Date,Price,Open,High,Low,Vol.,Change
10/11/2024,185.6,186,186,185.6,0.88K,-1.80%
10/10/2024,189,190,190,186,1.23K,1.61%
10/09/2024,186,184,194.9,180,4.73K,1.09%
10/08/2024,184,188.5,188.5,180,1.02K,-2.39%
10/07/2024,188.5,184,188.8,184,1.85K,1.89%
10/04/2024,185,181,189,180,3.84K,2.21%
10/03/2024,181,180,181,180,0.53K,-0.55%
10/02/2024,182,182,182.1,182,1.32K,0.00%
10/01/2024,182,179,182,179,0.64K,1.68%
09/30/2024,179,177.6,180,177.6,1.09K,0.79%
09/27/2024,177.6,186,189,177.5,0.21K,0.34%
09/26/2024,177,177,190,177,35.07K,0.00%
09/25/2024,177,177,177.2,176.5,0.86K,0.00%
09/24/2024,177,177.2,177.2,177,5.82K,-0.11%
09/23/2024,177.2,177.2,177.2,177,1.74K,0.68%
09/20/2024,176,177,177.2,176,4.70K,-0.56%
09/19/2024,177,176.4,177.1,176.4,1.35K,1.43%
09/18/2024,174.5,176,176.6,174,2.23K,0.17%
09/17/2024,174.2,176.4,176.4,174.1,3.90K,-1.25%
09/16/2024,176.4,176,176.9,175.3,1.10K,1.38%
09/13/2024,174,174.8,175.3,170,11.60K,2.35%
09/12/2024,170,176,176,170,11.52K,-1.73%
09/11/2024,173,173.5,177,171,0.46K,-0.29%
09/10/2024,173.5,177,177.2,173.5,2.36K,0.29%
09/09/2024,173,170.2,177.1,170.2,0.62K,-1.70%
09/06/2024,176,174,176.6,170.1,5.04K,1.73%
09/05/2024,173,171,173.9,171,0.19K,1.17%
09/04/2024,171,171,177,171,0.47K,0.00%
09/03/2024,171,177.3,177.3,171,0.94K,0.06%
09/02/2024,170.9,171,177,170.6,1.72K,0.23%
08/30/2024,170.5,177.9,177.9,170.5,0.37K,-0.06%
08/29/2024,170.6,170.1,178,170.1,2.19K,-0.23%
08/28/2024,171,178.5,178.5,171,6.24K,-0.58%
08/27/2024,172,178.5,178.5,171.5,1.37K,0.29%
08/22/2024,171.5,172,178.5,171.4,1.96K,0.06%
08/21/2024,171.4,173,180,171.4,4.25K,-0.35%
08/20/2024,172,180,180,172,3.22K,-2.82%
08/19/2024,177,181,182,176,3.04K,-2.21%
08/16/2024,181,180,181,179,1.14K,0.56%
08/15/2024,180,179.9,180,179.9,0.40K,2.27%
08/14/2024,176,180,180,176,1.61K,-1.68%
08/13/2024,179,178,180.5,178,0.12K,0.56%
08/12/2024,178,185,185,178,1.77K,-3.78%
08/09/2024,185,180,185,180,0.33K,0.54%
08/08/2024,184,178,184,178,0.56K,2.22%
08/07/2024,180,182,182,180,0.26K,0.00%
08/06/2024,180,175,180,172,1.97K,2.86%
08/05/2024,175,172,180,172,1.36K,1.74%
08/02/2024,172,180,184,170,32.72K,-3.37%
08/01/2024,178,180,180,177.7,1.30K,-0.56%
07/31/2024,179,183.9,183.9,179,0.71K,-0.56%
07/30/2024,180,183.3,184,180,1.47K,-2.17%
07/29/2024,184,187,187,184,3.21K,-1.55%
07/26/2024,186.9,187,190,185.1,0.65K,-1.63%
07/25/2024,190,190,190,189,1.02K,0.00%
07/23/2024,190,190,190,189.6,0.14K,0.00%
07/22/2024,190,190,190,190,0.37K,0.53%
07/19/2024,189,189,189,188,1.25K,0.53%
07/18/2024,188,189,190.5,188,0.93K,-1.83%
07/17/2024,191.5,189,191.5,189,0.26K,-0.26%
07/16/2024,192,192.5,192.5,189,0.52K,-0.26%
07/15/2024,192.5,195,195,190,1.16K,1.32%
07/12/2024,190,189.1,195,189.1,100.54K,0.48%
07/11/2024,189.1,189.9,190,189.1,0.24K,0.05%
07/10/2024,189,191,191,189,1.12K,-1.05%
07/09/2024,191,195,195,191,6.16K,-2.05%
07/08/2024,195,195,195,194,0.34K,0.52%
07/05/2024,194,194,194,194,0.55K,0.52%
07/04/2024,193,193,193,193,0.69K,1.58%
07/03/2024,190,192,192,189,0.55K,-1.55%
